market_segment,cancellation_rate
Aviation,21.071257771401246
Complementary,18.250591379002636
Corporate,26.6773158863711
Direct,21.85544215594135
Groups,67.54757610377213
Offline TA/TO,65.62978297650442
Online TA,37.801274415282265
Undefined,100.0
