distribution_channel,market_segment,total_of_special_requests,booking_changes,days_in_waiting_list,canceled_rooms,total_rooms,cancellation_rate
TA/TO,Offline TA/TO,0,1,63,4,18,22.22222222222222
TA/TO,Offline TA/TO,0,1,69,1,2,50.0
TA/TO,Offline TA/TO,0,1,101,4,4,100.0
TA/TO,Offline TA/TO,0,1,207,1,6,16.666666666666664
TA/TO,Offline TA/TO,0,2,0,19,274,6.934306569343065
TA/TO,Offline TA/TO,0,2,63,1,22,4.545454545454546
TA/TO,Offline TA/TO,0,2,101,1,1,100.0
TA/TO,Offline TA/TO,0,3,0,3,50,6.0
TA/TO,Offline TA/TO,0,4,0,1,16,6.25
TA/TO,Offline TA/TO,1,0,0,385,3723,10.341122750470051
TA/TO,Offline TA/TO,1,0,1,2,2,100.0
TA/TO,Offline TA/TO,1,1,0,45,566,7.950530035335689
TA/TO,Offline TA/TO,1,2,0,9,94,9.574468085106384
TA/TO,Offline TA/TO,1,3,0,1,25,4.0
TA/TO,Offline TA/TO,2,0,0,59,616,9.577922077922079
TA/TO,Offline TA/TO,2,1,0,3,100,3.0
TA/TO,Offline TA/TO,2,2,0,2,30,6.666666666666667
TA/TO,Offline TA/TO,2,3,0,2,9,22.22222222222222
TA/TO,Offline TA/TO,2,4,0,1,3,33.33333333333333
TA/TO,Offline TA/TO,3,0,0,2,106,1.8867924528301887
TA/TO,Offline TA/TO,3,1,0,1,12,8.333333333333332
TA/TO,Online TA,0,0,0,10454,18204,57.4269391342562
TA/TO,Online TA,0,0,20,2,2,100.0
TA/TO,Online TA,0,1,0,454,1566,28.991060025542787
TA/TO,Online TA,0,2,0,301,570,52.807017543859644
TA/TO,Online TA,0,3,0,38,101,37.62376237623762
TA/TO,Online TA,0,4,0,21,48,43.75
TA/TO,Online TA,0,5,0,10,19,52.63157894736842
TA/TO,Online TA,0,6,0,5,8,62.5
TA/TO,Online TA,0,7,0,1,5,20.0
TA/TO,Online TA,0,8,0,2,6,33.33333333333333
TA/TO,Online TA,0,9,0,1,3,33.33333333333333
TA/TO,Online TA,0,14,0,1,2,50.0
TA/TO,Online TA,1,0,0,5741,20077,28.59490959804752
TA/TO,Online TA,1,1,0,337,1933,17.43404035178479
TA/TO,Online TA,1,2,0,222,797,27.854454203262236
TA/TO,Online TA,1,3,0,53,160,33.125
TA/TO,Online TA,1,4,0,20,52,38.46153846153847
TA/TO,Online TA,1,6,0,8,18,44.44444444444444
TA/TO,Online TA,1,7,0,2,8,25.0
TA/TO,Online TA,1,8,0,2,3,66.66666666666666
TA/TO,Online TA,1,10,0,1,1,100.0
TA/TO,Online TA,1,16,0,1,1,100.0
TA/TO,Online TA,2,0,0,2315,8844,26.175938489371326
TA/TO,Online TA,2,1,0,165,1025,16.097560975609756
TA/TO,Online TA,2,2,0,69,379,18.20580474934037
TA/TO,Online TA,2,3,0,20,94,21.27659574468085
TA/TO,Online TA,2,4,0,6,37,16.216216216216218
TA/TO,Online TA,2,5,0,6,17,35.294117647058826
TA/TO,Online TA,2,6,0,4,7,57.14285714285714
TA/TO,Online TA,3,0,0,336,1499,22.414943295530353
TA/TO,Online TA,3,1,0,42,261,16.091954022988507
TA/TO,Online TA,3,2,0,15,79,18.9873417721519
TA/TO,Online TA,3,3,0,2,24,8.333333333333332
TA/TO,Online TA,3,4,0,3,12,25.0
TA/TO,Online TA,3,5,0,1,3,33.33333333333333
TA/TO,Online TA,3,6,0,1,5,20.0
TA/TO,Online TA,4,0,0,22,164,13.414634146341465
TA/TO,Online TA,4,1,0,2,39,5.128205128205128
Undefined,Direct,1,0,0,1,1,100.0
Undefined,Online TA,1,0,0,1,1,100.0
Undefined,Undefined,1,0,0,1,1,100.0
Undefined,Undefined,2,0,0,1,1,100.0
